STU_ID_PROXY,COURSE_CREDITS_REQ_bach,FACULTY_CODE_bach,LOCATION_CODE_bach,STUDY_YEAR_bach,N_SUBJECTS_bach,CODE_DESCR_bach,top5_bach_bach,COURSE_CODE,COURSE_CREDITS_REQ_mast,FACULTY_CODE_mast,LOCATION_CODE_mast,STUDY_YEAR_mast,N_SUBJECTS_mast,CODE_DESCR_mast,IS_GENDER_MALE,AGE_BAND,STATE,IS_INTERNATIONAL,HOME_LANGUAGE,ATAR_BAND,LANGUAGE_TEST_TYPE,LANGUAGE_TEST_SCORE
127263,300.0,300,U,2019,4,Bachelor of Commerce,BOC,,,,,,,,1,18,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
141065,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,18,,0,English,,Not Entered, 
127365,300.0,300,U,2019,8,Bachelor of Commerce,BOC,,,,,,,,0,18,VIC,1,Not English,Band4 - 90.00 - 94.95,Not Entered, 
141054,300.0,702,U,2019,1,Bachelor of Environments,BOE,,,,,,,,0,18,VIC,0,Not English,Band2 - 80.00 - 84.95,Not Entered, 
127404,300.0,500,U,2019,8,Bachelor of Biomedicine,BOB,,,,,,,,0,<18,VIC,0,Not English,Band6 - 98.00 - 99.85,Not Entered, 
127442,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,18,,1,Not English,,Not Entered, 
127469,100.0,300,U,2019,7,Bachelor of Commerce (Degree with Honours),BOC,,,,,,,,1,<18,VIC,0,English,Band6 - 98.00 - 99.85,Not Entered, 
127483,300.0,603,U,2019,1,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,English,Band3 - 85.00 - 89.95,Not Entered, 
141202,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,19,,1,Not English,,Not Entered, 
141016,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,19,VIC,0,English,Band1 - <80,Not Entered, 
126938,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,0,18,,1,Not English,,Tertiary English, 
126827,300.0,100,U,2019,4,Bachelor of Arts,BOA,,,,,,,,1,19,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
126485,300.0,300,U,2019,4,Bachelor of Commerce,BOC,,,,,,,,1,18,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
